,FR,DE,EN,Unnamed: 3,answer,de,en,date_moved,date_created,category,box
0,se fairre refaire les seins,sich die Brüste machen lassen,getting a boob job,,se fairre refaire les seins,sich die Brüste machen lassen,getting a boob job,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
1,le marronier,"die Rosskastani (Baum) , ein Zeitungsartikel über ein abgedroschenes Thema","chestnut, newspaper article about a repeating topic",74.0,le marronier,"die Rosskastani (Baum) , ein Zeitungsartikel über ein abgedroschenes Thema","chestnut, newspaper article about a repeating topic",2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
2,maron,braun,,,maron,braun,,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
3,la châtaigne,die Marone (Frucht) – essbar ,chestnut,,la châtaigne,die Marone (Frucht) – essbar ,chestnut,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
4,le châtaignier,"de Edelkastanie, die Esskastanie (Baum)",chestnut (tree),,le châtaignier,"de Edelkastanie, die Esskastanie (Baum)",chestnut (tree),2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
5,kroll,lockig,curly,,kroll,lockig,curly,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
6,le marron,die Kastanie (Frucht) nicht essbar,the maroon (fruit),,le marron,die Kastanie (Frucht) nicht essbar,the maroon (fruit),2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
7,il a pris 5 kilos,er hat 5 Kilo zugenommen,he gained 5 kg,,il a pris 5 kilos,er hat 5 Kilo zugenommen,he gained 5 kg,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
8,la tourista,"der Durchfall, besonders für Reisende",the diarrhea,,la tourista,"der Durchfall, besonders für Reisende",the diarrhea,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
9,crever,"sterben, populär: lust haben auf, (dem Druck) nachgeben","die, wanting to",,crever,"sterben, populär: lust haben auf, (dem Druck) nachgeben","die, wanting to",2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
10,une entorse,eine Verstauchung,a sprain,,une entorse,eine Verstauchung,a sprain,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
11,la paupière,das Augenlid,an eyelid,,la paupière,das Augenlid,an eyelid,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
12,le turbin,die (bezahlte) Arbeit,the work / job,,le turbin,die (bezahlte) Arbeit,the work / job,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
13,avoir quelqu’un sur le dos,jm. im Nacken sitzen haben,have so. breath down your neck,,avoir quelqu’un sur le dos,jm. im Nacken sitzen haben,have so. breath down your neck,2022-09-14 14:19:48.753578+00:00,2022-09-14 14:19:48.755953+00:00,F6,1
